Shipment_ID,Date,Warehouse,Destination,Status
SHP4091,2024-12-15,East Mistyview,West Amandamouth,Delivered
SHP4092,2025-04-24,South Adam,West Allen,Delayed
SHP4093,2025-01-25,East Jamesport,North Jacqueline,Delayed
SHP4094,2025-02-19,Christopherfort,Jonesside,Delayed
SHP4095,2025-03-24,West Meghan,Lake Caseyborough,Delivered
SHP4096,2025-02-10,South Jason,Markhaven,In Transit
SHP4097,2024-12-19,Christinachester,Chavezberg,Delivered
SHP4098,2025-01-08,Greenemouth,Jennyshire,Delayed
SHP4099,2025-01-18,Lake Darylfort,East Deborah,Delayed
SHP4100,2024-12-23,Karenport,Lake Marciaview,Delivered
SHP4101,2025-02-07,Vanessamouth,Port Dannyview,Delayed
SHP4102,2025-02-03,Comptonchester,New Donaldport,In Transit
SHP4103,2025-02-09,Stephanieborough,Erinchester,Delivered
SHP4104,2025-02-01,West Matthewton,Port Stephenville,Delivered
SHP4105,2025-01-10,South Karina,Lloydland,Delivered
SHP4106,2024-12-26,Port Kyle,Lake Peterville,Delayed
SHP4107,2025-01-28,Port Katherine,West Morganmouth,In Transit
SHP4108,2025-01-10,Walkerland,New Michael,Delivered
SHP4109,2025-02-09,Josephshire,Ellenberg,Delayed
SHP4110,2025-02-14,Andrewbury,Brooksmouth,In Transit
SHP4111,2025-02-21,Lake Georgeborough,Breannaland,Delayed
SHP4112,2025-02-24,New Angela,North Vanessa,Delivered
SHP4113,2024-12-26,Collinston,Gallagherland,Delivered
SHP4114,2024-12-29,West Carol,Abigailshire,Delayed
SHP4115,2025-05-09,North Lauraberg,North Debbie,Delayed
SHP4116,2024-12-23,New Stevenfort,Douglasville,Delivered
SHP4117,2025-01-18,Johnsonport,Edwinberg,In Transit
SHP4118,2025-04-15,Port Jennifer,Juliestad,Delayed
SHP4119,2024-11-27,South Justin,Elizabethville,Delivered
